epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,epoch_time_min
1,0.3720,0.3169,86.27,37.94,58.53,28.07,25.4
2,0.3043,0.2928,87.47,47.27,67.93,36.25,18.6
3,0.2819,0.2684,88.33,50.32,74.28,38.05,21.8
4,0.2678,0.2656,88.51,54.70,70.83,44.55,22.9
5,0.2585,0.2456,89.31,56.60,77.73,44.51,20.9
6,0.2515,0.2445,89.28,57.44,75.80,46.24,19.5
7,0.2465,0.2347,89.70,57.71,76.73,46.24,19.5
8,0.2423,0.2327,89.94,59.85,76.51,49.15,19.6
9,0.2386,0.2277,90.06,62.08,76.12,52.41,19.6
10,0.2355,0.2238,90.26,61.44,78.05,50.65,19.5
11,0.2325,0.2245,90.32,62.07,77.81,51.62,19.5
12,0.2302,0.2233,90.34,61.84,77.77,51.32,19.5
13,0.2282,0.2254,90.23,61.72,78.34,50.92,19.5
14,0.2260,0.2169,90.55,63.37,75.98,54.35,19.9
15,0.2241,0.2175,90.54,63.72,77.67,54.02,20.9
