epoch,train_loss,val_loss,val_accuracy,val_f1,val_precision,val_recall,epoch_time_min,learning_rate
1,0.3384,0.3999,83.92,41.54,66.02,30.31,2.1,0.001000
2,0.2708,0.2615,88.53,57.73,71.39,48.46,1.1,0.001000
3,0.2514,0.2407,89.58,57.73,76.40,46.39,1.1,0.001000
4,0.2402,0.2356,89.64,56.97,81.28,43.86,1.1,0.001000
5,0.2329,0.2238,90.21,60.75,80.26,48.87,1.3,0.001000
6,0.2273,0.2138,90.73,63.04,80.53,51.80,1.1,0.001000
7,0.2227,0.2196,90.47,65.27,77.46,56.40,1.1,0.001000
8,0.2192,0.2133,90.72,63.23,80.50,52.06,1.1,0.001000
9,0.2164,0.2070,91.04,65.53,79.78,55.60,1.1,0.001000
10,0.2139,0.2055,91.02,65.83,80.35,55.75,1.1,0.001000
11,0.2114,0.2025,91.28,68.22,78.56,60.29,1.1,0.001000
12,0.2099,0.2032,91.16,68.15,79.08,59.88,1.2,0.001000
13,0.2082,0.2005,91.24,67.75,79.60,58.97,1.2,0.001000
14,0.2066,0.1974,91.43,68.27,80.22,59.42,1.1,0.001000
15,0.2054,0.1950,91.47,67.71,81.73,57.80,1.4,0.001000
16,0.2040,0.2026,91.22,69.19,78.77,61.68,1.3,0.001000
17,0.2028,0.1977,91.32,67.87,80.96,58.43,1.1,0.001000
18,0.2018,0.1985,91.29,68.44,80.63,59.46,1.1,0.001000
